Product_en;Amount_pcs;Price;Date
Soft toy;3;618,00;2022-03-22
Postcard;46;368,00;2022-03-22
Jewelry;1;270,00;2022-03-22
Pants;1;799,00;2022-03-22
Pin;11;495,00;2022-03-22
Shawl/Scarf;6;725,00;2022-03-22
Napkins;17;1103,00;2022-03-22
Easter;1;159,00;2022-03-22
Teddy fleece;1;529,00;2022-03-22
Winter jacket;2;4598,00;2022-03-22
Viking;1;149,00;2022-03-22
Kitchen;13;1117,00;2022-03-22
Headband;4;480,00;2022-03-22
Buff;3;207,00;2022-03-22
Reindeer products;2;3400,00;2022-03-22
Thimble;3;150,00;2022-03-22
Pen/Pencil;4;176,00;2022-03-22
Thermobottle;1;210,00;2022-03-22
Card Deck;2;98,00;2022-03-22
Glasses case;3;297,00;2022-03-22
Nordkapp figure;6;714,00;2022-03-22
Slate;4;616,00;2022-03-22
Stationery;3;147,00;2022-03-22
Down jacket;1;449,50;2022-03-24
Down coat;1;499,50;2022-03-24
Magnet;1;49,00;2022-03-24
Fluffy socks;1;139,00;2022-03-25
T-shirt;1;269,00;2022-03-25
Headband;1;79,00;2022-03-25
Unknown;5;655,00;2022-03-26
Souvenirs;49;5788,00;2022-03-26
Trolls;12;1154,00;2022-03-26
Clothes;15;2532,70;2022-03-26
Books;17;2514,00;2022-03-26
Figures;1;499,00;2022-03-26
Various;22;2646,10;2022-03-26
Food;34;3622,10;2022-03-26
Fur;3;658,00;2022-03-26
Softshell;13;7727,10;2022-03-26
Down jacket;11;5094,50;2022-03-26
Flower jacket;2;999,00;2022-03-26
Mocca Fleece;5;2495,00;2022-03-26
Troll magnet;34;2006,00;2022-03-26
Fluffy socks;6;815,00;2022-03-26
Christmas;60;6396,50;2022-03-26
Hat;34;5604,00;2022-03-26
Candy/Chocolate;9;691,00;2022-03-26
T-shirt;23;5382,80;2022-03-26
Socks;22;2183,10;2022-03-26
Keychain;12;738,00;2022-03-26
Cap;8;1216,00;2022-03-26
Down coat;1;499,50;2022-03-26
Combijacket;3;1587,00;2022-03-26
Hoodie;7;2093,00;2022-03-26
Nordkapp book;1;99,00;2022-03-26
Magnet;172;9128,00;2022-03-26
Glassware;9;1431,00;2022-03-26
Snow globe;10;739,10;2022-03-26
Ny Form Troll;9;2373,00;2022-03-26
Woolen sweater;2;2498,00;2022-03-26
Gloves/Mittens;12;2560,00;2022-03-26
Sticker/Patch;12;435,00;2022-03-26
Mug;11;1121,00;2022-03-26
Shot glass;10;625,00;2022-03-26
Soft toy;13;1665,00;2022-03-26
Postcard;220;2380,00;2022-03-26
Jewelry;2;354,00;2022-03-26
Pants;2;1518,10;2022-03-26
Pin;6;270,00;2022-03-26
Shawl/Scarf;8;1001,00;2022-03-26
Napkins;3;197,00;2022-03-26
Teddy fleece;1;529,00;2022-03-26
Winter jacket;1;2299,00;2022-03-26
Kitchen;6;556,00;2022-03-26
Post stamp;50;1400,00;2022-03-26
Headband;6;638,00;2022-03-26
Children;4;462,00;2022-03-26
Buff;3;207,00;2022-03-26
Woolen scarf;1;699,00;2022-03-26
Reindeer products;11;1339,00;2022-03-26
Thimble;6;300,00;2022-03-26
Pen/Pencil;12;488,00;2022-03-26
Thermobottle;1;210,00;2022-03-26
Lighter;3;293,00;2022-03-26
Card Deck;2;99,00;2022-03-26
Nordkapp figure;15;1487,00;2022-03-26
Bottle cap;3;267,00;2022-03-26
Slate;3;377,00;2022-03-26
Boxer;1;139,00;2022-03-26
Souvenirs;4;443,00;2022-03-27
Clothes;1;107,10;2022-03-27
Books;4;626,00;2022-03-27
Various;2;130,00;2022-03-27
Softshell;1;599,00;2022-03-27
Troll magnet;1;53,10;2022-03-27
Christmas;1;159,00;2022-03-27
Hat;5;878,00;2022-03-27
Candy/Chocolate;1;89,00;2022-03-27
T-shirt;4;1006,00;2022-03-27
Socks;4;428,00;2022-03-27
Keychain;2;178,00;2022-03-27
Cap;1;150,00;2022-03-27
Magnet;12;626,20;2022-03-27
Ny Form Troll;2;538,00;2022-03-27
Sticker/Patch;10;467,10;2022-03-27
Postcard;17;136,00;2022-03-27
Pin;1;40,50;2022-03-27
Shawl/Scarf;1;299,00;2022-03-27
Viking;1;249,00;2022-03-27
Kitchen;2;188,00;2022-03-27
Buff;1;69,00;2022-03-27
Reindeer products;2;448,00;2022-03-27
Thermobottle;3;630,00;2022-03-27
Souvenirs;1;69,00;2022-03-30
Troll magnet;1;59,00;2022-03-30
Christmas;2;258,00;2022-03-30
Hat;1;150,00;2022-03-30
T-shirt;1;269,00;2022-03-30
Hoodie;1;299,00;2022-03-30
Magnet;4;216,00;2022-03-30
Snow globe;1;49,00;2022-03-30
Postcard;3;24,00;2022-03-30
Kitchen;1;110,00;2022-03-30
Various;1;79,00;2022-03-31
Softshell;2;1198,00;2022-03-31
Christmas;2;258,00;2022-03-31
Hat;4;600,00;2022-03-31
Socks;2;199,00;2022-03-31
Keychain;1;59,00;2022-03-31
Hoodie;1;299,00;2022-03-31
Magnet;5;245,00;2022-03-31
Woolen sweater;1;1599,00;2022-03-31
Sticker/Patch;4;192,00;2022-03-31
Postcard;1;8,00;2022-03-31
Shawl/Scarf;1;89,00;2022-03-31
Buff;1;69,00;2022-03-31
Souvenirs;1;79,00;2022-04-01
Food;2;408,00;2022-04-01
Christmas;2;268,00;2022-04-01
Candy/Chocolate;2;188,00;2022-04-01
Pin;1;45,00;2022-04-01
Souvenirs;45;4146,00;2022-04-02
Trolls;11;1339,00;2022-04-02
Clothes;16;2110,50;2022-04-02
Books;21;3062,00;2022-04-02
Figures;4;2296,00;2022-04-02
Souvenir;4;477,00;2022-04-02
Various;19;4166,50;2022-04-02
Food;38;4358,00;2022-04-02
Fur;2;1424,00;2022-04-02
Softshell;17;10183,00;2022-04-02
Down jacket;3;1997,50;2022-04-02
Flower jacket;1;499,50;2022-04-02
Mocca Fleece;8;3992,00;2022-04-02
Troll magnet;43;2537,00;2022-04-02
Fluffy socks;15;2185,00;2022-04-02
Christmas;42;5628,00;2022-04-02
Hat;38;5900,00;2022-04-02
Candy/Chocolate;28;3462,00;2022-04-02
T-shirt;25;6165,00;2022-04-02
Socks;36;3695,00;2022-04-02
Keychain;52;3448,00;2022-04-02
Cap;11;1726,00;2022-04-02
Combijacket;1;529,00;2022-04-02
Hoodie;7;2093,00;2022-04-02
Nordkapp book;2;198,00;2022-04-02
Magnet;121;6214,00;2022-04-02
Glassware;6;854,00;2022-04-02
Snow globe;7;629,00;2022-04-02
Ny Form Troll;18;4938,00;2022-04-02
Woolen sweater;9;12291,00;2022-04-02
Gloves/Mittens;7;1576,00;2022-04-02
Sticker/Patch;13;572,00;2022-04-02
Mug;20;1872,00;2022-04-02
Shot glass;20;1474,00;2022-04-02
Soft toy;14;2028,00;2022-04-02
Postcard;69;552,00;2022-04-02
Jewelry;1;459,00;2022-04-02
Pants;1;799,00;2022-04-02
Pin;16;720,00;2022-04-02
Shawl/Scarf;11;1404,00;2022-04-02
Napkins;5;295,00;2022-04-02
Teddy fleece;3;1587,00;2022-04-02
Winter jacket;1;2299,00;2022-04-02
Kitchen;7;813,00;2022-04-02
Post stamp;36;1008,00;2022-04-02
Headband;3;360,00;2022-04-02
Children;3;389,00;2022-04-02
Buff;6;554,00;2022-04-02
Reindeer products;24;15733,00;2022-04-02
Thimble;4;200,00;2022-04-02
Pen/Pencil;10;590,00;2022-04-02
Thermobottle;2;420,00;2022-04-02
Lighter;3;293,00;2022-04-02
Glasses case;5;517,00;2022-04-02
Nordkapp figure;11;1133,00;2022-04-02
Bottle cap;11;979,00;2022-04-02
Slate;8;966,00;2022-04-02
Tin;1;299,00;2022-04-02
Viking jewelry;1;249,00;2022-04-02
Pocket knife;1;109,00;2022-04-02
Boxer;1;139,00;2022-04-02
Souvenirs;1;25,00;2022-04-04
Trolls;1;0,00;2022-04-04
Various;1;69,00;2022-04-04
Food;2;158,00;2022-04-04
Teddy fleece;1;529,00;2022-04-04
Souvenirs;20;1115,80;2022-04-06
Food;2;198,00;2022-04-06
Troll magnet;2;59,00;2022-04-06
Candy/Chocolate;1;55,00;2022-04-06
T-shirt;276;29272,56;2022-04-06
Socks;1;69,00;2022-04-06
Keychain;2;118,00;2022-04-06
Magnet;7;379,00;2022-04-06
Ny Form Troll;1;189,00;2022-04-06
Woolen sweater;1;1199,00;2022-04-06
Sticker/Patch;2;75,00;2022-04-06
Mug;72;3577,68;2022-04-06
Shot glass;1;99,00;2022-04-06
Postcard;5;40,00;2022-04-06
Down jacket;1;699,00;2022-04-07
Fluffy socks;1;0,00;2022-04-07
Candy/Chocolate;2;69,00;2022-04-07
Magnet;1;49,00;2022-04-07
Glassware;1;159,00;2022-04-07
Teddy fleece;1;529,00;2022-04-07
Reindeer products;1;1800,00;2022-04-07
Souvenirs;12;1424,80;2022-04-08
Trolls;19;1992,00;2022-04-08
Clothes;5;987,00;2022-04-08
Books;7;1134,00;2022-04-08
Various;3;777,00;2022-04-08
Food;3;308,00;2022-04-08
Fur;2;1650,00;2022-04-08
Softshell;3;1797,00;2022-04-08
Down jacket;4;2157,60;2022-04-08
Troll magnet;18;1062,00;2022-04-08
Fluffy socks;4;576,00;2022-04-08
Christmas;19;2549,80;2022-04-08
Hat;7;884,00;2022-04-08
Candy/Chocolate;3;253,00;2022-04-08
T-shirt;9;2171,20;2022-04-08
Socks;7;675,00;2022-04-08
Keychain;16;1064,00;2022-04-08
Cap;1;150,00;2022-04-08
Combijacket;4;1479,90;2022-04-08
Hoodie;5;1595,00;2022-04-08
Magnet;44;2251,30;2022-04-08
Glassware;1;159,00;2022-04-08
Snow globe;2;130,00;2022-04-08
Ny Form Troll;4;1026,00;2022-04-08
Woolen sweater;4;9196,00;2022-04-08
Gloves/Mittens;3;678,00;2022-04-08
Sticker/Patch;7;315,00;2022-04-08
Mug;1;25,00;2022-04-08
Shot glass;13;897,00;2022-04-08
Soft toy;5;669,00;2022-04-08
Postcard;20;160,00;2022-04-08
Rain jacket;1;799,00;2022-04-08
Pin;8;360,00;2022-04-08
Shawl/Scarf;4;588,00;2022-04-08
Napkins;10;610,00;2022-04-08
Kitchen;3;297,00;2022-04-08
Post stamp;2;56,00;2022-04-08
Headband;1;120,00;2022-04-08
Buff;1;69,00;2022-04-08
Thimble;2;100,00;2022-04-08
Thermobottle;1;210,00;2022-04-08
Glasses case;3;330,00;2022-04-08
Nordkapp figure;4;336,00;2022-04-08
Bottle cap;1;80,10;2022-04-08
Boxer;1;125,10;2022-04-08
Souvenirs;2;90,00;2022-04-11
Trolls;6;494,00;2022-04-11
Clothes;2;154,50;2022-04-11
Books;3;677,00;2022-04-11
Souvenir;1;89,00;2022-04-11
Food;4;418,00;2022-04-11
Down jacket;4;3596,00;2022-04-11
Troll magnet;4;236,00;2022-04-11
Christmas;7;733,00;2022-04-11
Hat;4;418,00;2022-04-11
Socks;1;99,00;2022-04-11
Keychain;4;246,00;2022-04-11
Hoodie;1;399,00;2022-04-11
Magnet;10;510,00;2022-04-11
Glassware;1;159,00;2022-04-11
Gloves/Mittens;4;828,00;2022-04-11
Sticker/Patch;1;49,00;2022-04-11
Soft toy;1;149,00;2022-04-11
Postcard;12;96,00;2022-04-11
Pants;1;799,00;2022-04-11
Shawl/Scarf;2;220,00;2022-04-11
Napkins;3;197,00;2022-04-11
Kitchen;1;89,00;2022-04-11
Post stamp;3;84,00;2022-04-11
Reindeer products;2;698,00;2022-04-11
Pen/Pencil;1;49,00;2022-04-11
Boxer;2;278,00;2022-04-11
Trolls;1;99,00;2022-04-12
Troll magnet;1;59,00;2022-04-12
Fluffy socks;8;1163,00;2022-04-12
Christmas;1;139,00;2022-04-12
Hat;1;199,00;2022-04-12
T-shirt;1;269,00;2022-04-12
Socks;1;99,00;2022-04-12
Keychain;2;128,00;2022-04-12
Cap;3;450,00;2022-04-12
Shot glass;3;177,00;2022-04-12
Winter jacket;1;2299,00;2022-04-12
Boxer;1;139,00;2022-04-12
Souvenirs;106;6279,18;2022-04-13
Trolls;24;1140,00;2022-04-13
Clothes;6;517,50;2022-04-13
Books;16;1048,50;2022-04-13
Various;2;462,00;2022-04-13
Food;23;1053,00;2022-04-13
Fur;4;1462,50;2022-04-13
Troll magnet;151;3459,32;2022-04-13
Fluffy socks;25;1407,50;2022-04-13
Christmas;47;1148,25;2022-04-13
Hat;31;1864,00;2022-04-13
Candy/Chocolate;27;3969,00;2022-04-13
T-shirt;150;15428,30;2022-04-13
Socks;79;3025,00;2022-04-13
Keychain;220;8578,64;2022-04-13
Hoodie;16;2155,25;2022-04-13
Magnet;403;7315,96;2022-04-13
Glassware;20;2510,04;2022-04-13
Woolen sweater;9;6606,25;2022-04-13
Sticker/Patch;12;225,00;2022-04-13
Mug;75;3091,50;2022-04-13
Shot glass;64;1327,44;2022-04-13
Soft toy;38;2665,00;2022-04-13
Postcard;35;280,00;2022-04-13
Pin;9;240,00;2022-04-13
Shawl/Scarf;10;400,00;2022-04-13
Napkins;73;2435,48;2022-04-13
Easter;20;1300,00;2022-04-13
Teddy fleece;19;4156,25;2022-04-13
Winter jacket;1;0,00;2022-04-13
Post stamp;2;68,00;2022-04-13
Reindeer products;37;10989,00;2022-04-13
Thermobottle;2;419,00;2022-04-13
Nordkapp figure;24;877,75;2022-04-13
Souvenirs;8;649,00;2022-04-15
Trolls;2;134,00;2022-04-15
Clothes;2;229,00;2022-04-15
Books;2;100,00;2022-04-15
Figures;1;799,00;2022-04-15
Various;1;79,00;2022-04-15
Food;4;440,00;2022-04-15
Down jacket;1;699,00;2022-04-15
Fluffy socks;1;139,00;2022-04-15
Christmas;7;975,00;2022-04-15
Hat;2;109,00;2022-04-15
Candy/Chocolate;0;0,00;2022-04-15
T-shirt;3;737,00;2022-04-15
Cap;3;414,00;2022-04-15
Down coat;2;1998,00;2022-04-15
Hoodie;2;598,00;2022-04-15
Magnet;7;373,00;2022-04-15
Ny Form Troll;2;488,00;2022-04-15
Gloves/Mittens;1;249,00;2022-04-15
Sticker/Patch;14;643,00;2022-04-15
Mug;2;198,00;2022-04-15
Soft toy;1;50,00;2022-04-15
Postcard;4;32,00;2022-04-15
Post stamp;2;47,00;2022-04-15
Pen/Pencil;2;88,00;2022-04-15
Boxer;1;139,00;2022-04-15
Unknown;2;118,00;2022-04-16
Souvenirs;25;2264,00;2022-04-16
Trolls;26;2492,00;2022-04-16
Clothes;15;2529,00;2022-04-16
Books;15;3137,00;2022-04-16
Figures;1;299,00;2022-04-16
Souvenir;2;151,30;2022-04-16
Various;13;1740,00;2022-04-16
Food;25;2739,00;2022-04-16
Fur;2;2494,00;2022-04-16
Softshell;15;8985,00;2022-04-16
Down jacket;5;3146,50;2022-04-16
Flower jacket;2;999,00;2022-04-16
Troll magnet;29;1711,00;2022-04-16
Fluffy socks;16;2184,00;2022-04-16
Christmas;60;6237,50;2022-04-16
Hat;54;7159,00;2022-04-16
Candy/Chocolate;12;931,00;2022-04-16
T-shirt;29;7501,00;2022-04-16
Socks;19;2007,00;2022-04-16
Keychain;39;2661,00;2022-04-16
Cap;9;1375,00;2022-04-16
Down coat;1;499,50;2022-04-16
Hoodie;6;1794,00;2022-04-16
Nordkapp book;4;396,00;2022-04-16
Magnet;169;9005,00;2022-04-16
Glassware;5;675,00;2022-04-16
Snow globe;7;549,00;2022-04-16
Ny Form Troll;12;2978,00;2022-04-16
Woolen sweater;3;4247,00;2022-04-16
Gloves/Mittens;7;1535,00;2022-04-16
Sticker/Patch;9;413,00;2022-04-16
Mug;9;741,00;2022-04-16
Shot glass;13;1035,00;2022-04-16
Soft toy;18;2740,00;2022-04-16
Postcard;113;935,00;2022-04-16
Rain jacket;1;799,00;2022-04-16
Pin;8;360,00;2022-04-16
Shawl/Scarf;8;978,00;2022-04-16
Napkins;3;177,00;2022-04-16
Easter;1;159,00;2022-04-16
Kitchen;9;973,00;2022-04-16
Post stamp;47;1316,00;2022-04-16
Headband;3;360,00;2022-04-16
Buff;1;69,00;2022-04-16
Reindeer products;7;5686,00;2022-04-16
Thimble;2;100,00;2022-04-16
Pen/Pencil;5;265,00;2022-04-16
Thermobottle;3;630,00;2022-04-16
Lighter;6;586,00;2022-04-16
Card Deck;3;207,00;2022-04-16
Glasses case;1;99,00;2022-04-16
Nordkapp figure;9;1112,00;2022-04-16
Slate;1;79,00;2022-04-16
Pocket knife;1;110,00;2022-04-16
Boxer;8;1112,00;2022-04-16
Souvenirs;7;988,00;2022-04-19
Various;1;29,00;2022-04-19
Softshell;1;599,00;2022-04-19
Down jacket;1;449,50;2022-04-19
Troll magnet;2;118,00;2022-04-19
Christmas;1;189,00;2022-04-19
Hat;1;99,00;2022-04-19
T-shirt;2;457,30;2022-04-19
Keychain;7;443,00;2022-04-19
Magnet;3;157,00;2022-04-19
Snow globe;1;49,00;2022-04-19
Ny Form Troll;1;649,00;2022-04-19
Mug;3;117,00;2022-04-19
Shot glass;6;403,00;2022-04-19
Soft toy;1;110,00;2022-04-19
Napkins;1;79,00;2022-04-19
Reindeer products;3;1047,00;2022-04-19
Glasses case;1;99,00;2022-04-19
Souvenirs;4;188,00;2022-04-21
Trolls;2;214,00;2022-04-21
Clothes;2;104,30;2022-04-21
Various;8;565,00;2022-04-21
Food;2;198,00;2022-04-21
Softshell;1;599,00;2022-04-21
Down jacket;1;629,30;2022-04-21
Mocca Fleece;1;499,00;2022-04-21
Troll magnet;1;59,00;2022-04-21
Fluffy socks;2;288,00;2022-04-21
Christmas;1;89,00;2022-04-21
Candy/Chocolate;2;79,00;2022-04-21
T-shirt;1;269,00;2022-04-21
Keychain;8;562,00;2022-04-21
Cap;1;179,00;2022-04-21
Combijacket;1;529,00;2022-04-21
Magnet;9;441,00;2022-04-21
Mug;3;297,00;2022-04-21
Shot glass;2;138,00;2022-04-21
Soft toy;1;110,00;2022-04-21
Postcard;5;40,00;2022-04-21
Pin;1;45,00;2022-04-21
Kitchen;1;110,00;2022-04-21
Buff;1;48,30;2022-04-21
Reindeer products;1;99,00;2022-04-21
Thimble;1;50,00;2022-04-21
Glasses case;1;99,00;2022-04-21
Nordkapp figure;1;59,00;2022-04-21
Souvenirs;12;1419,00;2022-04-22
Trolls;15;1652,00;2022-04-22
Clothes;4;326,00;2022-04-22
Books;10;1456,00;2022-04-22
Various;3;599,50;2022-04-22
Food;29;2941,00;2022-04-22
Fur;6;4020,00;2022-04-22
Softshell;5;2995,00;2022-04-22
Down jacket;1;899,00;2022-04-22
Mocca Fleece;2;998,00;2022-04-22
Troll magnet;7;413,00;2022-04-22
Fluffy socks;1;149,00;2022-04-22
Christmas;10;1582,00;2022-04-22
Hat;23;3111,00;2022-04-22
Candy/Chocolate;5;356,00;2022-04-22
T-shirt;8;2062,00;2022-04-22
Socks;8;966,00;2022-04-22
Keychain;6;404,00;2022-04-22
Cap;3;459,00;2022-04-22
Down coat;1;699,30;2022-04-22
Hoodie;3;897,00;2022-04-22
Magnet;38;1899,00;2022-04-22
Glassware;6;954,00;2022-04-22
Snow globe;3;209,00;2022-04-22
Ny Form Troll;4;1068,00;2022-04-22
Woolen sweater;4;5346,00;2022-04-22
Sticker/Patch;5;206,00;2022-04-22
Mug;2;228,00;2022-04-22
Shot glass;5;461,00;2022-04-22
Soft toy;1;210,00;2022-04-22
Postcard;52;416,00;2022-04-22
Pin;1;45,00;2022-04-22
Shawl/Scarf;1;89,00;2022-04-22
Napkins;5;315,00;2022-04-22
Winter jacket;1;1799,00;2022-04-22
Kitchen;4;386,00;2022-04-22
Post stamp;29;812,00;2022-04-22
Headband;1;120,00;2022-04-22
Buff;4;276,00;2022-04-22
Reindeer products;2;2149,00;2022-04-22
Thimble;1;50,00;2022-04-22
Pen/Pencil;4;248,00;2022-04-22
Lighter;1;35,00;2022-04-22
Glasses case;1;99,00;2022-04-22
Nordkapp figure;1;79,00;2022-04-22
Stationery;1;49,00;2022-04-22
Boxer;2;278,00;2022-04-22
Souvenirs;8;893,00;2022-04-26
Clothes;2;65,00;2022-04-26
Books;1;199,00;2022-04-26
Food;7;936,00;2022-04-26
Softshell;1;599,00;2022-04-26
Troll magnet;1;59,00;2022-04-26
Fluffy socks;3;417,00;2022-04-26
Christmas;8;874,00;2022-04-26
Hat;1;99,00;2022-04-26
Candy/Chocolate;7;383,00;2022-04-26
T-shirt;1;269,00;2022-04-26
Cap;1;159,00;2022-04-26
Magnet;20;1010,00;2022-04-26
Glassware;1;99,00;2022-04-26
Snow globe;1;49,00;2022-04-26
Ny Form Troll;3;1077,00;2022-04-26
Woolen sweater;2;3498,00;2022-04-26
Gloves/Mittens;2;528,00;2022-04-26
Sticker/Patch;2;75,00;2022-04-26
Mug;1;99,00;2022-04-26
Shot glass;3;183,00;2022-04-26
Postcard;17;136,00;2022-04-26
Shawl/Scarf;4;276,00;2022-04-26
Napkins;1;79,00;2022-04-26
Kitchen;3;337,00;2022-04-26
Headband;2;240,00;2022-04-26
Pen/Pencil;2;124,00;2022-04-26
Nordkapp figure;1;159,00;2022-04-26
Tin;1;299,00;2022-04-26
Souvenirs;1;149,00;2022-04-29
Trolls;3;307,00;2022-04-29
Various;1;89,00;2022-04-29
Softshell;3;1797,00;2022-04-29
Mocca Fleece;1;499,00;2022-04-29
Troll magnet;1;59,00;2022-04-29
Fluffy socks;1;149,00;2022-04-29
Christmas;7;855,00;2022-04-29
Hat;4;679,00;2022-04-29
T-shirt;2;538,00;2022-04-29
Socks;1;99,00;2022-04-29
Keychain;3;177,00;2022-04-29
Cap;1;150,00;2022-04-29
Magnet;8;412,00;2022-04-29
Glassware;1;159,00;2022-04-29
Ny Form Troll;1;235,00;2022-04-29
Sticker/Patch;3;107,00;2022-04-29
Mug;1;129,00;2022-04-29
Postcard;3;24,00;2022-04-29
Napkins;1;59,00;2022-04-29
Kitchen;1;99,00;2022-04-29
Headband;1;120,00;2022-04-29
Thimble;1;50,00;2022-04-29
Nordkapp figure;1;159,00;2022-04-29
Various;1;39,00;2022-04-30
Socks;1;89,00;2022-04-30
Gloves/Mittens;1;179,00;2022-04-30
Pants;1;399,50;2022-05-01
Trolls;3;228,00;2022-05-02
Clothes;1;299,00;2022-05-02
Books;1;350,00;2022-05-02
Various;2;228,00;2022-05-02
Mocca Fleece;3;1497,00;2022-05-02
Troll magnet;1;59,00;2022-05-02
Fluffy socks;2;298,00;2022-05-02
Christmas;1;79,00;2022-05-02
Hat;2;198,00;2022-05-02
Candy/Chocolate;3;133,00;2022-05-02
T-shirt;8;1642,00;2022-05-02
Socks;1;120,00;2022-05-02
Keychain;6;354,00;2022-05-02
Magnet;2;118,00;2022-05-02
Sticker/Patch;1;30,00;2022-05-02
Soft toy;1;210,00;2022-05-02
Pin;1;45,00;2022-05-02
Shawl/Scarf;2;220,00;2022-05-02
Lighter;2;258,00;2022-05-02
Bottle cap;2;178,00;2022-05-02
Souvenirs;5;625,00;2022-05-03
Trolls;1;69,00;2022-05-03
Various;0;0,00;2022-05-03
Food;2;258,00;2022-05-03
Softshell;2;1198,00;2022-05-03
Mocca Fleece;4;1746,50;2022-05-03
Troll magnet;6;354,00;2022-05-03
Candy/Chocolate;1;55,00;2022-05-03
Socks;3;247,00;2022-05-03
Keychain;4;236,00;2022-05-03
Cap;2;309,00;2022-05-03
Hoodie;7;1495,00;2022-05-03
Magnet;6;310,00;2022-05-03
Gloves/Mittens;1;150,00;2022-05-03
Sticker/Patch;2;108,00;2022-05-03
Mug;3;339,00;2022-05-03
Shot glass;2;138,00;2022-05-03
Postcard;2;16,00;2022-05-03
Post stamp;2;56,00;2022-05-03
Buff;2;138,00;2022-05-03
Nordkapp figure;4;476,00;2022-05-03
Clothes;1;65,00;2022-05-04
Christmas;1;49,00;2022-05-04
Hat;2;349,00;2022-05-04
Keychain;2;118,00;2022-05-04
Cap;1;159,00;2022-05-04
Combijacket;1;529,00;2022-05-04
Magnet;1;59,00;2022-05-04
Mug;1;69,00;2022-05-04
Postcard;1;8,00;2022-05-04
Winter jacket;1;1399,00;2022-05-04
Souvenirs;2;258,00;2022-05-05
Souvenir;1;99,00;2022-05-05
Food;1;110,00;2022-05-05
Softshell;2;1198,00;2022-05-05
Troll magnet;2;118,00;2022-05-05
Fluffy socks;1;139,00;2022-05-05
Keychain;1;59,00;2022-05-05
Hoodie;1;299,00;2022-05-05
Magnet;3;147,00;2022-05-05
Snow globe;1;49,00;2022-05-05
Sticker/Patch;1;59,00;2022-05-05
Pin;3;135,00;2022-05-05
Kitchen;3;297,00;2022-05-05
Nordkapp figure;2;0,00;2022-05-05
Bottle cap;1;89,00;2022-05-05
Souvenirs;13;968,00;2022-05-06
Trolls;5;423,00;2022-05-06
Clothes;2;358,00;2022-05-06
Books;3;508,00;2022-05-06
Various;3;578,00;2022-05-06
Food;12;1437,00;2022-05-06
Softshell;4;2596,00;2022-05-06
Down jacket;1;899,00;2022-05-06
Mocca Fleece;1;599,00;2022-05-06
Troll magnet;23;1357,00;2022-05-06
Fluffy socks;4;516,00;2022-05-06
Christmas;6;790,00;2022-05-06
Hat;7;1497,00;2022-05-06
Candy/Chocolate;11;634,00;2022-05-06
T-shirt;3;737,00;2022-05-06
Socks;5;487,00;2022-05-06
Keychain;7;473,00;2022-05-06
Cap;2;280,00;2022-05-06
Combijacket;1;529,00;2022-05-06
Hoodie;2;598,00;2022-05-06
Magnet;25;1387,00;2022-05-06
Glassware;2;318,00;2022-05-06
Ny Form Troll;6;1882,00;2022-05-06
Gloves/Mittens;1;179,00;2022-05-06
Sticker/Patch;15;505,00;2022-05-06
Mug;1;120,00;2022-05-06
Shot glass;3;193,00;2022-05-06
Postcard;49;392,00;2022-05-06
Pin;3;135,00;2022-05-06
Teddy fleece;1;529,00;2022-05-06
Kitchen;10;920,00;2022-05-06
Post stamp;17;494,00;2022-05-06
Buff;2;138,00;2022-05-06
Reindeer products;6;2295,00;2022-05-06
Thimble;1;50,00;2022-05-06
Pen/Pencil;5;315,00;2022-05-06
Lighter;1;39,00;2022-05-06
Glasses case;1;110,00;2022-05-06
Nordkapp figure;1;59,00;2022-05-06
Souvenirs;2;248,00;2022-05-07
Clothes;1;110,00;2022-05-07
Books;1;199,00;2022-05-07
Food;1;110,00;2022-05-07
Down jacket;2;899,00;2022-05-07
Christmas;5;396,00;2022-05-07
Socks;1;120,00;2022-05-07
Keychain;2;198,00;2022-05-07
Magnet;5;255,00;2022-05-07
Sticker/Patch;1;59,00;2022-05-07
Woolen scarf;1;699,00;2022-05-07
Souvenirs;2;148,00;2022-05-09
Fluffy socks;1;139,00;2022-05-09
Hat;3;348,00;2022-05-09
Socks;2;240,00;2022-05-09
Hoodie;1;329,00;2022-05-09
Magnet;3;147,00;2022-05-09
Gloves/Mittens;1;150,00;2022-05-09
Sticker/Patch;1;29,00;2022-05-09
Mug;3;99,00;2022-05-09
Kitchen;1;110,00;2022-05-09
Post stamp;1;28,00;2022-05-09
Buff;1;69,00;2022-05-09
Reindeer products;2;198,00;2022-05-09
Souvenirs;4;322,00;2022-05-10
Trolls;8;1075,00;2022-05-10
Clothes;3;498,00;2022-05-10
Various;1;299,50;2022-05-10
Food;3;308,00;2022-05-10
Softshell;2;1398,00;2022-05-10
Mocca Fleece;7;3843,50;2022-05-10
Fluffy socks;1;139,00;2022-05-10
Christmas;2;208,00;2022-05-10
Hat;3;348,00;2022-05-10
Candy/Chocolate;1;39,00;2022-05-10
Socks;6;586,00;2022-05-10
Keychain;6;474,00;2022-05-10
Cap;3;450,00;2022-05-10
Down coat;1;999,00;2022-05-10
Hoodie;2;658,00;2022-05-10
Nordkapp book;2;198,00;2022-05-10
Magnet;9;451,00;2022-05-10
Snow globe;3;307,00;2022-05-10
Ny Form Troll;2;470,00;2022-05-10
Gloves/Mittens;1;150,00;2022-05-10
Mug;3;318,00;2022-05-10
Postcard;5;40,00;2022-05-10
